20,17,18,20,.,.,.,.,.,.,.,.,.,.,.,5.2,.,.,.,.,.,78,75,67,37
17,16,17,19,2.714286,5,4.142857,2.666667,5,4.2,4.428571,5.4,4.285714,5.2,5.2,4.4,4.4,3.615385,4.578947,4.882353,4.666667,73,60,41,33
19,19,8,7,3.285714,2.5,6.142857,4.166667,4.857143,6.8,5.857143,1.8,2.571429,3,5.6,5.8,6.6,4.076923,5.736842,2.470588,6,50,45,58,38
15,13,21,21,4.571429,2.666667,5.857143,5.5,6,5,4.428571,4.2,2.857143,6.4,4.8,5.6,4.6,4.692308,5.157895,4.294118,5,65,83,65,28
16,12,13,14,1.857143,4.833333,3.428571,4.333333,3.285714,4.2,1.714286,4.8,4.571429,6.2,4.4,3.8,4.4,3.538462,2.947368,5.117647,4.2,71,71,47,28
21,21,21,21,3.428571,4.5,3.142857,5.5,5.285714,2.6,3.428571,5.6,3,4.2,3.2,1.8,2.8,4.076923,3.894737,4.117647,2.6,93,49,49,42
20,19,21,21,4.428571,3.833333,3.714286,3.833333,5.571429,5,3.571429,6,5.142857,5.4,5,5.2,4.6,3.961538,4.684211,5.470588,4.933333,88,61,44,39
21,19,18,20,5.428571,3.833333,5.285714,5.666667,6.142857,3,3.142857,1.8,2.142857,3.6,5.4,5.8,6,5.076923,4.210526,2.470588,5.733333,96,55,66,40
18,18,16,19,4.857143,4.5,5.714286,5.5,3.571429,3.2,3.857143,4.6,5.857143,6.4,5.6,5.6,6.2,5.153846,3.578947,5.647059,5.8,86,64,74,36
19,12,15,19,.,2.666667,.,3.166667,.,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31
15,15,15,18,5.428571,4.166667,4,4.666667,3.571429,5.2,4,5,3.142857,4.4,5.6,5.6,5.6,4.576923,4.157895,4.058824,5.6,55,50,77,30
15,16,19,20,4.428571,3.5,4.285714,4.166667,4.428571,2.2,4.857143,5.2,.,5.4,4.4,4.6,4.4,4.115385,4,.,4.466667,69,61,40,31
11,14,19,21,5.142857,5.166667,4.714286,6,5,4.4,3.857143,4,2.142857,4.6,4.6,4.8,5.2,5.230769,4.421053,3.411765,4.866667,63,57,57,25
20,20,20,21,2.142857,2.666667,3,4.666667,5.857143,5.6,5,3.6,2.714286,3.6,4.8,6.2,5.4,3.076923,5.473684,3.235294,5.466667,65,40,29,40
16,14,11,11,5.571429,4.5,4,4.166667,3.857143,4.2,5.142857,1,1.714286,1.6,5,2,4.2,4.576923,4.421053,1.470588,3.733333,47,38,39,30
19,16,16,18,3.714286,3.666667,4.571429,3.166667,5.428571,3.8,4.428571,6.2,5,6.2,5.4,4.2,4.4,3.807692,4.631579,5.705882,4.666667,79,56,63,35
20,21,21,20,4.857143,4.833333,6,3.666667,5,4.4,4.857143,6.6,4.571429,4.8,6.2,6.4,5.4,4.884615,4.789474,5.235294,6,97,74,45,41
16,15,14,21,3.857143,3.666667,5,5,4.285714,3.2,5.428571,4.2,5.571429,2.2,4.2,4.8,3.4,4.384615,4.421053,4.176471,4.133333,55,47,49,31
13,10,17,14,3.857143,4,3.285714,4.5,5.285714,4.2,5.142857,3.4,4.285714,4.2,5,4.6,6,3.884615,4.947368,4,5.2,75,51,32,23
21,16,17,19,4,6,5.428571,3.833333,3.285714,4,3.142857,6.4,5.571429,6,5.6,5.4,5.4,4.807692,3.421053,5.941176,5.466667,95,34,48,37
20,21,16,18,.,4.5,2.285714,3.333333,.,.,2.142857,5.8,4.714286,3,2.8,5,4.4,.,.,4.529412,4.066667,.,.,.,41
17,15,13,13,3.857143,4.833333,4.571429,3.666667,5.285714,3.4,2.714286,6.6,3.285714,4.6,3.2,4.8,.,4.230769,3.842105,4.647059,.,86,54,55,32
18,18,21,21,4.428571,3.333333,5.142857,.,4.714286,5,3.142857,6.8,3.857143,5.4,3.4,4.8,5,.,4.210526,5.176471,4.4,89,74,58,36
8,12,21,20,4.857143,5.5,3.857143,5.166667,4.857143,2.6,3.714286,5.4,3.428571,4.8,2.8,2.4,4.4,4.807692,3.842105,4.411765,3.2,70,52,60,20
12,11,18,16,4.714286,5.333333,5.142857,4.833333,5.857143,4.8,4.857143,3.2,4.857143,4.4,5.4,5,5.8,5,5.210526,4.235294,5.4,70,78,56,23
